Total Population,Total Households,Median Household Income (Current Year $),Total Households For Period Of Construction,Total Households For Period Of Construction Built Before 1961,Total Households For Period Of Construction Built Between 1961 And 1980,Total Households For Period Of Construction Built Between 1981 And 190,Total Households For Period Of Construction Built Between 1991 And 2000,Total Households For Period Of Construction Built Between 2001 And 2005,Total Households For Structure Type Houses,"Total Households For Structure Type Apartment, Building Low And High Rise",Total Households For Structure Type Other Dwelling Types,Total Households for Tenure,Dwellings by Tenure Owner,Dwellings by Tenure Renter
8403,2960,77306.11,2960,30,270,504,624,828,2224,718,18,2856,2293,563
3803,1459,94191.29,1459,27,102,508,682,81,1302,157,0,1381,1035,346
2790,1218,54791.44,1218,208,423,178,166,61,1154,64,0,1200,1015,185
1408,490,50000,490,92,120,60,73,67,431,51,8,506,415,91
4354,2448,52733.48,2448,101,1040,746,356,71,78,2370,0,2256,688,1568
1667,1012,47003.89,1012,102,226,210,79,93,5,1007,0,942,164,778
5180,1826,82304.53,1826,0,20,58,1232,244,1784,42,0,1736,1540,196
2028,704,100829.08,704,282,246,59,45,29,684,20,0,691,608,83
3474,1284,48884.38,1284,533,413,116,104,50,776,504,4,1207,783,424
5091,2031,71143.33,2031,78,1338,200,58,25,1464,567,0,1911,1314,597
645,226,50536.57,226,17,27,37,144,0,131,95,0,231,165,66
3117,1342,95541.8,1342,130,961,150,37,27,1107,230,5,1348,1081,267
6095,2256,86790.54,2256,147,495,372,283,48,1765,459,32,2115,1845,270
1090,468,43231.16,468,35,170,89,92,28,463,0,5,457,375,74
7068,3481,46474.44,3481,1605,1185,228,135,99,695,2782,4,3241,1102,2139
8869,3168,105138.28,3168,104,838,401,82,71,2820,344,4,3010,2825,185
9423,3868,81558.19,3868,143,1023,371,275,269,2399,1465,4,3686,2444,1242
2428,929,72238.84,929,59,765,58,38,0,909,20,0,894,724,170
1879,658,107489.02,658,201,350,53,11,11,630,28,0,588,464,124
5783,1843,118917.91,1843,16,75,641,906,46,1696,143,4,1707,1503,204
6263,3112,46860.33,3112,325,479,455,683,276,1341,1759,12,2915,1135,1780
8617,3818,55120.34,3818,88,985,1364,317,38,549,3268,1,3534,2194,1340
2193,776,94114.28,776,16,215,302,80,120,760,16,0,720,682,38
5311,2486,76130.07,2486,353,1370,420,167,16,1607,875,4,2401,1520,881
2687,1204,37008.26,1204,500,497,117,52,10,256,948,0,1128,257,871
8568,4141,43117.4,4141,560,1462,519,389,481,1015,3123,3,3684,1196,2488
6522,2603,107156.59,2603,20,205,117,485,571,1997,601,5,2478,1999,479
1908,735,90084.61,735,235,444,29,20,0,723,12,0,719,509,210
5021,1736,91161.25,1736,29,576,720,346,10,1501,235,0,1681,1428,253
22748,15388,83229.86,15388,338,99,144,921,1847,127,15248,13,11891,5078,6813
2701,1326,67509.57,1326,694,450,66,52,15,775,551,0,1243,684,559
5409,2345,86439.58,2345,337,651,236,331,177,870,1460,15,2140,1305,835
3878,1472,73437.91,1472,238,538,152,146,118,1102,312,58,1388,959,429
4931,1718,91415.08,1718,17,335,353,361,414,1672,46,0,1678,1581,97
4167,1636,80000,1636,189,423,233,202,178,1482,140,14,1598,1374,224
5454,2769,37819.48,2769,1175,878,281,153,53,917,1841,11,2697,1068,1629
12795,4746,93049.81,4746,246,440,476,468,815,4646,94,6,4318,3772,546
6021,2751,46772.66,2751,1653,616,223,145,54,917,1825,9,2564,882,1682
4508,1705,113971.5,1705,56,1250,244,88,20,1216,485,4,1652,1221,431
5287,1948,124401.7,1948,2,15,14,173,330,1313,624,11,1755,1486,269
13046,4040,117056.31,4040,53,334,413,333,54,3439,600,1,3766,3371,395
4979,1928,69347.2,1928,590,695,189,126,195,1118,810,0,1776,796,980
6384,2116,93114.75,2116,12,257,615,461,478,2110,6,0,1984,1557,427
3582,1437,84750.41,1437,247,1137,24,0,8,1316,117,4,1378,1104,274
4913,2942,43941.21,2942,1216,1041,438,142,25,690,2249,3,2709,832,1877
6272,2562,86766.61,2562,39,1006,186,292,216,1655,223,684,2477,2212,265
9329,3654,77426.03,3654,354,1178,364,640,246,3169,404,81,3515,3061,454
10576,3097,107672.64,3097,63,52,24,264,1214,3069,28,0,2848,2614,234
3769,1545,66329.55,1545,946,365,30,66,18,1176,369,0,1478,939,539
4811,2591,41157.27,2591,1137,833,264,140,13,58,2524,9,2445,627,1818
5374,2778,51611.08,2778,717,1351,308,201,110,1412,1362,4,2638,803,1835
4507,1517,67231.96,1517,37,1252,140,27,11,1204,313,0,1405,1025,380
5790,2264,60223.62,2264,27,1522,480,79,30,1862,398,4,2103,1291,812
1181,628,114881.94,628,132,28,11,2,98,257,371,0,590,452,138
4976,1419,95083.56,1419,0,11,4,32,718,1391,22,6,1295,1137,158
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7123,3039,80495.19,3039,270,380,331,757,568,1619,1416,4,2800,1727,1073
4540,1442,62773.3,1442,171,896,107,84,24,584,858,0,1318,784,534
3342,1074,101565.28,1074,121,418,196,147,60,620,449,5,1043,706,337
8533,3495,71674.04,3495,474,1140,404,435,183,1034,2458,3,3247,1660,1587
7742,2873,59345.24,2873,1206,639,86,47,192,788,2076,9,2716,1624,1092
2770,1075,86099.12,1075,175,756,73,32,10,1059,16,0,1011,935,76
4974,1683,90713.42,1683,502,484,67,275,31,1666,17,0,1510,1392,118
2269,853,96008.35,853,19,157,181,252,78,813,35,5,831,733,98
5340,2235,74669.33,2235,201,993,372,136,60,1337,861,37,2053,1328,725
2828,1489,49583,1489,690,396,115,124,58,154,1330,5,1407,426,981
3957,1604,70433.67,1604,32,419,616,122,22,934,375,295,1521,1418,103
3832,1373,187219.41,1373,909,175,54,47,44,944,429,0,1279,954,325
3542,1110,131056.44,1110,0,55,822,175,18,1110,0,0,1031,995,36
4928,1999,68677.59,1999,1031,784,88,17,22,1609,390,0,1887,1334,553
5509,2033,52291.91,2033,770,741,88,267,101,946,1087,0,1907,819,1088
4848,2259,65779.22,2259,1395,550,87,98,19,1807,443,9,2258,1491,767
10066,5316,49470.96,5316,131,269,48,236,1229,256,5060,0,4822,2544,2278
5189,2182,72260.93,2182,91,906,397,338,134,1707,470,5,2105,1650,455
5125,1666,140058.74,1666,100,270,293,287,307,1658,8,0,1572,1506,66
3991,1467,90200.47,1467,47,939,352,23,19,1318,132,17,1370,997,373
4404,2246,32029.37,2246,669,791,335,172,20,87,2154,5,2151,321,1830
6072,1815,122382.86,1815,37,54,609,883,40,1740,75,0,1674,1557,117
7376,2915,97573.14,2915,0,663,265,207,104,2157,633,125,2442,1884,558
4821,1641,93956.9,1641,57,436,264,572,277,1495,138,8,1568,1359,209
1672,731,53434.71,731,238,170,54,65,55,666,60,5,701,585,116
6302,2635,84789.07,2635,469,552,533,702,224,2164,466,5,2496,1868,628
4058,1522,87920.06,1522,28,408,798,204,42,1226,296,0,1451,965,486
4440,1506,130450.82,1506,86,616,255,268,102,1481,0,25,1448,1396,52
3292,1846,46599.26,1846,687,390,154,120,38,22,1819,5,1702,404,1298
3790,1804,67923.75,1804,833,511,131,127,92,932,872,0,1728,971,757
9616,2480,105713.51,2480,48,10,14,31,1179,2441,35,4,2212,2051,161
7768,3029,36313.82,3029,1117,1279,230,153,45,276,2739,14,2884,794,2090
6535,1850,126717.85,1850,16,17,342,1115,243,1828,22,0,1682,1568,114
3152,1266,91623.18,1266,1000,95,24,33,16,974,281,11,1157,776,381
1504,714,121705.57,714,364,121,146,22,16,427,287,0,654,474,180
2720,938,80155.66,938,11,162,628,132,0,786,152,0,900,787,113
3631,1433,84305.42,1433,90,981,100,29,0,1428,0,5,1310,1175,135
8165,3115,80141.84,3115,686,1528,248,122,163,1406,1709,0,2975,1855,1120
5342,2019,94547.46,2019,92,665,571,147,16,1377,639,3,1834,1048,786
4993,2321,74797.59,2321,1714,260,66,58,22,1677,622,22,2158,1391,767
4733,1916,38459.96,1916,741,589,303,47,44,704,1196,16,1777,1048,729
5949,1965,104128.21,1965,31,413,1343,121,0,1804,161,0,1801,1638,163
6130,2526,52746.99,2526,90,1787,264,315,24,1589,937,0,2413,1394,1019
5329,2653,55971.28,2653,1003,751,358,212,93,1144,1505,4,2463,1004,1459
4480,1584,107330.29,1584,236,966,148,90,37,1147,437,0,1477,1043,434
4662,1565,81571.64,1565,54,734,71,232,110,1541,24,0,1495,1375,120
6669,4116,46172.32,4116,612,2069,368,280,76,38,4078,0,3779,388,3391
2657,1343,55204.25,1343,953,278,54,3,10,957,386,0,1255,827,428
4102,1239,109986.59,1239,33,45,59,273,289,1101,138,0,1191,1083,108
5204,1552,109720.9,1552,0,18,47,1383,63,1527,25,0,1439,1299,140
2721,1273,74915.36,1273,166,470,186,223,78,842,307,124,1208,857,351
5889,1943,111483.41,1943,36,426,282,417,305,1899,44,0,1802,1723,79
2434,956,76881.23,956,450,397,27,27,11,950,6,0,898,751,147
7809,2591,111791.63,2591,91,188,111,855,220,2244,342,5,2374,1984,390
6239,1879,116933.09,1879,0,10,10,21,597,1848,31,0,1689,1532,157
3999,2389,49983.04,2389,1169,266,92,59,43,0,2389,0,2111,768,1343
1907,788,35968.89,788,452,219,54,57,0,40,748,0,798,12,786
9284,3321,92815.3,3321,558,761,373,711,63,2810,506,5,3045,2386,659
3237,1443,68116.3,1443,698,527,46,77,21,748,695,0,1427,833,594
6137,1912,105342.72,1912,20,27,333,586,194,1715,197,0,1810,1517,293
2935,1507,43139.86,1507,914,331,99,52,14,16,1429,62,1405,350,1055
4291,1863,70383.55,1863,143,1236,210,91,63,1321,294,248,1756,1348,408
7798,2567,82106.36,2567,8,160,1000,970,41,1225,1338,4,2331,1786,545
8220,3822,31704.52,3822,916,1727,311,424,125,407,3411,4,3585,624,2961
7040,2671,54491.27,2671,505,1899,169,38,15,904,1756,11,2519,1774,745
1519,661,43743.29,661,422,149,37,26,0,194,467,0,646,250,396
4257,2058,37841.19,2058,551,981,136,151,51,766,1275,17,2055,726,1329
623,338,30294.88,338,112,184,19,15,3,154,184,0,335,100,235
5902,1804,76159.14,1804,56,93,314,520,173,1577,227,0,1619,1299,320
9006,3309,90450.47,3309,191,779,560,608,374,2645,34,630,3108,2915,193
5986,1940,48451.05,1940,559,355,175,567,52,940,1000,0,1803,1321,482
11370,3695,100424.39,3695,32,29,198,97,496,3389,303,3,3437,2967,470
8770,2582,110135.84,2582,0,0,13,78,592,2351,224,7,2369,2094,275
6592,3425,69774.49,3425,132,66,109,235,558,160,3265,0,3134,2127,1007
5324,2356,70338.18,2356,1469,557,134,110,11,1008,1343,5,2212,1039,1173
3766,1410,103793.07,1410,35,84,583,513,76,985,425,0,1317,1126,191
2951,1382,68202.22,1382,682,407,129,86,0,602,780,0,1287,641,646
6468,2564,81410.04,2564,331,587,154,94,32,1057,1507,0,2189,1170,1019
5142,2098,89486.91,2098,390,966,406,194,63,1263,831,4,2106,1655,451
3883,1588,39090.41,1588,857,540,77,74,13,99,1484,5,1552,341,1211
5563,3104,34167.36,3104,924,1092,282,156,108,748,2331,25,2802,445,2357
1974,739,43750.61,739,532,92,18,23,0,669,65,5,686,418,268
4498,1492,76156.73,1492,996,340,27,42,52,1198,290,4,1440,1272,168
3305,1769,46479.24,1769,520,753,161,82,54,324,1434,11,1689,477,1212
5,2,125000,2,1,1,0,0,0,2,0,0,2,1,1
6637,2200,82372.97,2200,228,303,221,821,530,2174,26,0,2136,1873,263
4120,1718,58574.6,1718,250,632,366,128,84,1143,575,0,1597,988,609
3668,1397,82197.72,1397,77,393,352,229,74,1076,321,0,1320,910,410
5035,1503,109187.72,1503,19,45,281,772,270,1422,81,0,1409,1222,187
3758,1363,83597.81,1363,369,925,36,10,0,1291,72,0,1312,938,374
6163,1667,75675.56,1667,0,100,727,698,70,1572,95,0,1553,1204,349
4583,1886,73317.92,1886,234,857,254,129,57,1436,440,10,1840,1340,500
2543,1256,36170.57,1256,871,223,46,68,11,232,984,40,1246,319,927
6292,1785,93254.84,1785,41,120,765,245,31,1662,123,0,1552,1386,166
4284,1783,81657.06,1783,178,874,366,154,78,938,824,21,1686,969,717
4384,1763,88037.41,1763,15,1430,124,135,15,1513,250,0,1653,1236,417
5101,1668,110619.83,1668,0,0,6,231,1117,1668,0,0,1550,1447,103
6438,2735,77827.74,2735,168,1083,537,446,227,2177,539,19,2732,2211,521
7548,1850,97017.62,1850,0,10,89,1422,214,1703,147,0,1669,1507,162
2801,1307,51256.44,1307,788,203,56,64,50,729,574,4,1280,609,671
108,34,47751.4,34,0,8,8,7,8,34,0,0,31,2,6
14476,4349,108476.77,4349,2,23,129,722,861,4038,311,0,3822,3524,298
4764,2131,78448.74,2131,513,1469,88,30,3,1332,799,0,2068,1084,984
7761,3208,47139.03,3208,414,2345,202,141,26,496,2712,0,3067,1080,1987
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4785,1844,98435.55,1844,23,108,955,611,83,1331,513,0,1715,1570,145
1760,706,36387.9,706,410,120,45,28,11,421,283,2,670,288,382
3490,1816,47600.98,1816,423,519,174,303,102,314,1476,26,1663,629,1034
4177,1806,49435.06,1806,909,365,134,139,70,638,1159,9,1713,859,854
6188,2204,96768.89,2204,328,802,284,251,90,2096,45,63,2014,1851,163
11833,4445,68566.18,4445,32,120,62,196,1311,2979,1465,1,4096,3391,705
2793,1168,68857.39,1168,137,644,199,52,25,1040,118,10,1132,951,181
3742,1285,82137.16,1285,803,350,33,3,9,976,309,0,1204,1039,165
4369,1679,38190.98,1679,634,790,127,56,13,1058,621,0,1601,900,701
2429,897,118932.57,897,0,10,0,0,2,883,7,7,659,574,85
2788,1702,28007.05,1702,1038,404,109,80,30,100,1567,35,1672,269,1403
4615,1730,114968.24,1730,1211,100,72,82,136,1361,369,0,1620,1277,343
116,40,45959.2,40,3,7,0,7,12,33,0,7,43,21,9
1710,1073,25184.26,1073,120,697,176,68,0,145,928,0,1074,105,969
2711,1851,29272.39,1851,838,575,194,119,18,350,1448,53,1825,355,1470
5126,2007,90966.12,2007,327,1286,112,86,54,1848,159,0,1992,1886,106
5190,2155,95306.01,2155,771,570,192,258,128,1712,441,2,2133,1775,358
1644,659,53018.59,659,183,219,80,71,25,566,86,7,652,553,99
6822,2813,80077.11,2813,1584,432,305,152,272,2183,630,0,2755,1995,760
6026,3172,33328.46,3172,758,1399,447,307,26,246,2922,4,3063,616,2447
4476,1485,97192.87,1485,3,29,211,937,151,1373,112,0,1323,1156,167
5162,1798,109737.73,1798,496,505,316,234,96,1730,53,15,1725,1487,238
6485,2188,54222.1,2188,1128,827,111,61,3,1206,977,5,2069,1272,797
5476,1710,50549.31,1710,132,1004,407,117,16,582,1128,0,1614,939,675
14690,4159,86937.87,4159,56,325,465,418,454,3234,921,4,3722,2880,842
7639,2051,83337.12,2051,34,124,1110,531,173,1544,502,5,1925,1545,380
5114,1890,94746,1890,200,725,273,470,89,1608,265,17,1778,1500,278
4273,2893,32843.08,2893,1050,1287,197,71,2,90,2798,5,2615,406,2209
5235,1723,71721.99,1723,82,1395,130,40,8,1327,396,0,1589,1074,515
2409,1195,58721.78,1195,156,826,133,56,16,769,426,0,1199,814,385
2165,752,111280.9,752,104,200,45,97,0,729,0,23,698,646,52
3912,1709,58995.41,1709,383,720,152,190,97,1008,696,5,1711,1090,621
6925,2353,92570.69,2353,15,285,1000,747,40,2153,196,4,2241,1805,436
5631,2428,80000,2428,1039,889,113,151,15,1387,1037,4,2228,1261,967
8357,4199,40644.38,4199,120,561,799,1213,128,31,4161,7,3840,2181,1659
1598,898,39650.75,898,494,201,85,27,22,11,887,0,823,174,649
4583,1933,58159.7,1933,160,1027,175,429,64,1108,819,6,1926,1156,770
3827,1601,59493.57,1601,1332,99,37,60,26,1162,430,9,1499,1024,475
6448,2534,38942.51,2534,732,1197,348,129,74,357,2177,0,2474,630,1844
8963,2207,93748.35,2207,0,8,9,48,1682,2184,23,0,2029,1919,110
2071,1109,31199.48,1109,294,408,85,76,30,270,839,0,1038,269,769
7123,1876,98807.72,1876,0,0,0,29,92,1725,151,0,1756,1343,413
1605,549,127339.11,549,265,118,70,33,10,529,20,0,538,426,112
1689,782,88060.98,782,466,148,17,68,6,487,295,0,743,476,267
5097,2343,44736.7,2343,426,1256,433,148,19,857,1486,0,2253,567,1686
4741,1802,100334.07,1802,383,1268,51,29,17,1730,72,0,1722,1468,254
3655,2449,39377.47,2449,501,719,182,419,262,70,2379,0,2264,435,1829
3043,1464,48215.04,1464,846,433,72,43,0,845,615,4,1370,735,635
1700,881,37915.14,881,488,215,77,44,3,22,854,5,801,141,660
2299,1257,46317.92,1257,652,316,49,43,52,432,825,0,1238,403,835
3595,1649,40897.28,1649,717,582,167,77,60,251,1393,5,1579,465,1114
6693,2244,108505.72,2244,107,910,659,395,27,1540,697,7,2111,1778,333
4844,2032,48071.68,2032,1087,546,153,150,28,1536,486,10,1991,1110,881
3453,2171,34286.84,2171,1038,455,151,146,59,5,2118,48,2063,512,1551
8521,5140,60532.06,5140,707,1628,676,856,200,485,4633,22,4775,2121,2654
1673,781,52199.62,781,57,132,33,49,118,120,658,3,717,458,259
4094,1491,97344.71,1491,121,395,334,247,103,1341,119,31,1393,1246,147
9011,3210,84784.36,3210,324,691,388,311,500,2821,347,42,3058,2852,206
5406,2177,79416.61,2177,867,675,140,272,104,2083,62,32,2117,1859,258
2508,1465,37436.17,1465,561,711,97,27,21,5,1460,0,1416,238,1178
2,1,80995.66,1,0,1,0,0,0,1,0,0,1,1,0
3619,1324,67392.43,1324,69,469,383,106,33,1117,203,4,1255,747,508
4197,1610,76744.86,1610,74,796,298,320,61,1277,333,0,1518,1074,444
4016,2056,48521.92,2056,1160,596,134,101,23,47,1985,24,2018,532,1486
7762,4591,37065.62,4591,929,2176,665,351,200,224,4354,13,4326,492,3834
195,79,75089.34,79,28,46,0,4,0,74,5,0,80,72,8
5041,1879,104315.53,1879,0,20,43,595,478,1171,708,0,1786,1178,608
4485,1654,110808.26,1654,875,145,125,187,68,819,835,0,1596,1158,438
4405,2198,50943.54,2198,995,642,254,126,45,739,1430,29,2000,670,1330
8527,2842,125203.56,2842,20,85,65,237,551,2654,127,61,2627,2418,209
5262,1632,142652.06,1632,0,259,646,414,266,1632,0,0,1579,1550,29
2230,1166,50165.6,1166,827,227,62,17,10,5,1147,14,1125,300,825
3452,1145,133780.8,1145,13,40,421,614,26,1130,10,5,1076,993,83
6584,1939,101084.24,1939,2,2,10,959,831,1890,49,0,1853,1719,134
9668,3499,115679.99,3499,10,51,146,1573,286,3318,181,0,3161,2725,436
1386,573,80781,573,263,129,45,58,26,505,68,0,556,485,71
8428,4846,73670.1,4846,793,769,1042,807,525,514,4280,52,4447,2412,2035
10006,3902,73699.94,3902,720,1456,333,190,178,2711,1191,0,3627,2857,770
5030,1982,107664.01,1982,79,1590,229,33,0,1745,237,0,1887,1553,334
4577,1871,70191.85,1871,234,1382,154,78,10,1232,635,4,1825,1017,808
4611,1787,87434.59,1787,102,962,170,138,20,916,868,3,1678,1279,399
1234,235,104219.92,235,84,75,24,0,12,204,29,2,172,116,56
3014,1136,121041.82,1136,724,248,109,16,11,1003,133,0,1139,1059,80
6659,2283,103247.11,2283,30,224,1157,611,85,1772,465,46,2148,1926,222
1679,660,74710.08,660,70,223,114,97,31,553,97,10,641,503,138
5912,2387,100159.07,2387,1,27,297,645,594,1358,1029,0,2143,1119,1024
2471,1483,46167.19,1483,1260,87,44,50,14,25,1431,27,1467,426,1041
1488,602,56868.78,602,0,106,110,178,40,349,57,196,571,490,81
8061,2619,104391.26,2619,266,234,110,97,277,2563,51,5,2402,2138,264
8216,2999,96583.16,2999,9,216,457,1378,253,1945,907,147,2832,2304,528
1597,1000,49762.6,1000,289,561,97,27,0,0,1000,0,949,62,887
6821,2961,45061.31,2961,1788,736,187,112,15,148,2789,24,2835,1024,1811
1281,475,85193.39,475,10,209,186,63,0,396,75,4,459,292,167
5248,2225,79264.76,2225,172,864,642,316,50,1307,900,18,2203,1541,662
3269,1130,72567.75,1130,76,805,158,29,0,992,138,0,1079,857,222
7307,3394,52264.11,3394,1471,609,130,128,134,583,2787,24,3193,1498,1695
3248,1138,117271.66,1138,31,797,301,0,0,1106,32,0,1098,1054,44
4110,1414,132188.06,1414,295,198,518,168,116,1337,77,0,1300,1130,170
9269,4791,68803.62,4791,226,323,1195,1361,322,334,4457,0,4636,2987,1649
5794,2580,54083.2,2580,773,981,352,203,90,1496,1079,5,2582,1668,914
2467,1350,38045.37,1350,542,316,142,59,85,28,1322,0,1252,354,898
15,5,54375,5,0,1,1,1,1,5,0,0,5,5,0
2615,1106,85229.31,1106,643,387,23,14,7,864,242,0,1078,749,329
3885,1398,82487.17,1398,10,249,455,295,210,1218,165,15,1308,1106,202
3306,790,95795.78,790,13,15,14,347,322,744,46,0,703,614,89
5911,1718,148630.48,1718,0,72,689,235,464,1692,26,0,1597,1511,86
4144,1900,46107.82,1900,665,704,144,180,47,779,1121,0,1815,850,965
8064,2693,76879.34,2693,79,1001,566,638,127,1757,936,0,2576,1922,654
3824,1796,43159.94,1796,1179,257,125,63,31,281,1510,5,1694,605,1089
10544,3529,93099.23,3529,37,67,66,888,710,3031,465,33,3332,2934,398
6422,2176,106613.96,2176,169,764,377,147,268,2151,21,4,2069,1919,150
8188,3777,61033.45,3777,435,1425,642,278,339,1834,1937,6,3632,1657,1975
10258,2603,77458.81,2603,9,42,232,1216,706,2304,299,0,2390,1927,463
4655,2783,53811.3,2783,1033,536,459,166,55,54,2720,9,2622,824,1798
7802,2678,101598.01,2678,574,507,917,337,200,2282,396,0,2496,2096,400
5481,2278,71463.03,2278,1029,1006,85,62,16,2014,264,0,2132,1738,394
3293,1582,50770.06,1582,1152,290,89,35,3,1110,467,5,1556,993,563
2708,1157,55541.5,1157,939,120,13,34,0,931,220,6,1061,788,273
9628,4556,55817.11,4556,134,665,333,1515,187,479,4076,1,4266,2920,1346
9982,2959,102846.63,2959,2,2,2,46,829,2594,365,0,2670,2043,627
1591,642,100000,642,0,9,34,221,174,612,30,0,601,590,11
7812,2852,83949.93,2852,77,1735,509,219,13,2164,688,0,2555,2201,354
4809,1891,76942.27,1891,349,454,495,205,83,1408,124,359,1803,1311,492
3717,1954,48683.66,1954,1371,338,116,58,17,1078,860,16,1869,922,947
7019,2192,131770.52,2192,0,32,485,1344,249,2102,90,0,2058,1929,129
7464,2496,88093.71,2496,201,1211,294,134,68,1688,803,5,2363,1721,642
4988,1985,78551.72,1985,97,207,120,297,479,1178,803,4,1843,1312,531
6895,2542,84499.62,2542,11,72,998,290,345,1249,1293,0,2249,1677,572
8001,2328,108845.5,2328,17,81,575,811,560,2241,87,0,2136,2025,111
3255,1148,74607.98,1148,65,98,58,208,238,793,355,0,846,620,226
3110,1236,43914.45,1236,171,879,130,33,0,88,1148,0,1207,441,766
5549,1989,109657.81,1989,62,321,411,416,257,1778,211,0,1848,1639,209
4553,2155,48061.47,2155,1093,589,220,155,22,1010,1141,4,2027,956,1071
9141,2498,94043.92,2498,12,12,0,526,1556,2442,56,0,2272,2151,121
1079,439,77245.81,439,232,148,29,15,0,393,46,0,443,386,57
8698,3723,53474.05,3723,104,712,1162,1225,150,885,2838,0,3535,2299,1236
5107,1865,127136.14,1865,1089,645,26,46,0,1758,107,0,1816,1603,213
9989,3659,95606.11,3659,267,622,557,610,455,2980,675,4,3414,2929,485
3012,1109,104057.7,1109,25,528,397,126,11,983,126,0,1103,854,249
9577,3669,98207.06,3669,3,297,573,550,590,2500,1169,0,3380,3111,269
4731,1902,98558.94,1902,38,1513,265,73,0,1690,212,0,1879,1654,225
3778,1579,86232.81,1579,370,411,208,294,105,1149,425,5,1524,1110,414
5173,1845,77401.03,1845,56,1039,267,67,64,1358,487,0,1667,993,674
8322,3141,64633.29,3141,108,1061,829,687,142,1415,1275,451,2987,2143,844
5070,2094,105932.46,2094,9,31,143,1561,209,1420,674,0,1952,1778,174
4385,1737,61959.73,1737,630,775,237,35,0,1270,467,0,1637,1051,586
5816,1877,90241.78,1877,122,949,262,145,46,1344,531,2,1750,1365,385
6294,1886,58549.02,1886,44,743,860,112,20,1245,637,4,1831,1335,496
3818,2173,58460.6,2173,1087,715,94,46,9,177,1975,21,2009,502,1507
6810,3047,26946.18,3047,1266,1096,370,171,56,10,3014,23,2949,144,2805
4085,1546,119643.92,1546,9,1354,35,19,68,1460,86,0,1445,1370,75
3354,1248,89223.1,1248,0,43,227,490,242,750,498,0,1217,753,464
2649,1133,80083.61,1133,823,197,30,44,10,704,420,9,1087,688,399
